"","nicheout$RAINFALL"
"1",0
"2",0.100000001490116
"3",0.200000002980232
"4",1.60000002384186
"5",19.2000007629395
"6",0.100000001490116
"7",0.300000011920929
"8",0.600000023841858
"9",0.300000011920929
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0.100000001490116
"17",0
"18",0
"19",3.29999995231628
"20",0
"21",3.20000004768372
"22",2.20000004768372
"23",3.70000004768372
"24",1.20000004768372
"25",0
"26",5.90000009536743
"27",9.30000019073486
"28",1
"29",0
"30",0.400000005960464
"31",0
"32",0.699999988079071
"33",0.100000001490116
"34",0
"35",0
"36",3.70000004768372
"37",0.200000002980232
"38",0
"39",0
"40",0.400000005960464
"41",0
"42",2.79999995231628
"43",0.699999988079071
"44",0.100000001490116
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",18.6000003814697
"52",1.60000002384186
"53",0.400000005960464
"54",28
"55",0.699999988079071
"56",0
"57",8.60000038146973
"58",0
"59",0
"60",0
"61",0
"62",0.100000001490116
"63",0.100000001490116
"64",0
"65",0
"66",0.100000001490116
"67",0
"68",0
"69",3.79999995231628
"70",1.20000004768372
"71",0.300000011920929
"72",0.100000001490116
"73",22.6000003814697
"74",0.200000002980232
"75",0.300000011920929
"76",0.100000001490116
"77",14.8999996185303
"78",1.5
"79",0
"80",0
"81",0.400000005960464
"82",14.6000003814697
"83",0.100000001490116
"84",0.100000001490116
"85",0
"86",0.699999988079071
"87",0.400000005960464
"88",0.400000005960464
"89",0.5
"90",1.10000002384186
"91",1.89999997615814
"92",0
"93",1.29999995231628
"94",0.200000002980232
"95",0.100000001490116
"96",0.200000002980232
"97",0
"98",0.200000002980232
"99",0.100000001490116
"100",0.100000001490116
"101",0.300000011920929
"102",0.200000002980232
"103",0.200000002980232
"104",11
"105",0.400000005960464
"106",13.8000001907349
"107",7.80000019073486
"108",0.300000011920929
"109",2.40000009536743
"110",0.200000002980232
"111",2.79999995231628
"112",2.20000004768372
"113",0.400000005960464
"114",0.200000002980232
"115",0.200000002980232
"116",0.200000002980232
"117",0.100000001490116
"118",0.100000001490116
"119",0.800000011920929
"120",23.6000003814697
"121",4.40000009536743
"122",1.20000004768372
"123",3.29999995231628
"124",0.5
"125",1.10000002384186
"126",0.200000002980232
"127",0.899999976158142
"128",1
"129",6
"130",0.100000001490116
"131",0
"132",0.400000005960464
"133",23.5
"134",51.5
"135",4.09999990463257
"136",0.300000011920929
"137",11.3000001907349
"138",0.699999988079071
"139",2.09999990463257
"140",3.29999995231628
"141",1.10000002384186
"142",2.40000009536743
"143",2
"144",2
"145",7.09999990463257
"146",4.80000019073486
"147",56.5999984741211
"148",1.29999995231628
"149",5.09999990463257
"150",4
"151",2
"152",0.800000011920929
"153",6.30000019073486
"154",0.300000011920929
"155",3.5
"156",1.29999995231628
"157",1
"158",0.5
"159",0.400000005960464
"160",7.69999980926514
"161",3.40000009536743
"162",0.899999976158142
"163",0.200000002980232
"164",0.699999988079071
"165",0.200000002980232
"166",0.100000001490116
"167",4.69999980926514
"168",4.40000009536743
"169",0.899999976158142
"170",0.100000001490116
"171",1.60000002384186
"172",29.8999996185303
"173",13.8999996185303
"174",1.5
"175",13
"176",0.600000023841858
"177",1
"178",1.60000002384186
"179",18.3999996185303
"180",8
"181",0.400000005960464
"182",0.200000002980232
"183",0.200000002980232
"184",0.200000002980232
"185",1
"186",2.79999995231628
"187",3
"188",6.69999980926514
"189",0.200000002980232
"190",8.5
"191",1.20000004768372
"192",0.800000011920929
"193",0.899999976158142
"194",2.20000004768372
"195",0.5
"196",14.3999996185303
"197",12.5
"198",0.300000011920929
"199",0.200000002980232
"200",18.3999996185303
"201",17.1000003814697
"202",70.5
"203",5.59999990463257
"204",19.7000007629395
"205",55.2999992370605
"206",8.19999980926514
"207",1.5
"208",1.60000002384186
"209",0.800000011920929
"210",0.200000002980232
"211",0.899999976158142
"212",0.699999988079071
"213",2.29999995231628
"214",1.5
"215",0.5
"216",0.100000001490116
"217",0
"218",0.100000001490116
"219",0.300000011920929
"220",17.8999996185303
"221",15.3999996185303
"222",20.1000003814697
"223",4.59999990463257
"224",0.200000002980232
"225",0.100000001490116
"226",0.200000002980232
"227",0.699999988079071
"228",0.400000005960464
"229",0.100000001490116
"230",0.100000001490116
"231",0.100000001490116
"232",0.200000002980232
"233",3.59999990463257
"234",6.40000009536743
"235",4.19999980926514
"236",1.70000004768372
"237",11.3000001907349
"238",1.79999995231628
"239",0.400000005960464
